v,omega,x,y,phi,xr,yr,phir,delta
-0.0384,-0.0285,89.7741,0.4702,-0.0848,90.0992,0.4031,-0.0913,-0.0147
-0.0378,-0.0281,89.8737,0.4610,-0.0854,90.1992,0.3939,-0.0917,-0.0145
-0.0373,-0.0277,89.9732,0.4517,-0.0860,90.2992,0.3847,-0.0920,-0.0142
-0.0367,-0.0272,90.0728,0.4423,-0.0865,90.3992,0.3754,-0.0924,-0.0140
-0.0361,-0.0268,90.1724,0.4330,-0.0871,90.4992,0.3661,-0.0928,-0.0138
-0.0355,-0.0264,90.2719,0.4236,-0.0876,90.5992,0.3568,-0.0931,-0.0135
-0.0349,-0.0259,90.3715,0.4141,-0.0881,90.6992,0.3475,-0.0935,-0.0133
-0.0343,-0.0255,90.4710,0.4046,-0.0886,90.7992,0.3381,-0.0938,-0.0131
-0.0337,-0.0250,90.5706,0.3951,-0.0892,90.8992,0.3286,-0.0942,-0.0128
-0.0331,-0.0246,90.6701,0.3855,-0.0897,90.9992,0.3192,-0.0945,-0.0126
-0.0325,-0.0241,90.7696,0.3759,-0.0901,91.0992,0.3097,-0.0948,-0.0123
-0.0319,-0.0237,90.8692,0.3662,-0.0906,91.1992,0.3002,-0.0951,-0.0121
-0.0313,-0.0232,90.9687,0.3565,-0.0911,91.2992,0.2906,-0.0954,-0.0118
-0.0306,-0.0228,91.0682,0.3468,-0.0916,91.3992,0.2810,-0.0957,-0.0116
